product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Subbia Antica Brunello di Montalcino 2015 ,Italy,Sangiovese,94-Point Brunello,,7 Reviews,$54.99 per bottle,12 bottles - $659.88,$659.88,$560.88,Save $99.00
Cabalié Blanc 2023 ,France,Viognier-based blend,Acclaimed Southern French White,,103 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Altos de la Guardia Crianza Rioja 2021 ,Spain,Tempranillo,"91-Point, Gold-Medal Rioja",,241 Reviews,$25.99 per bottle,12 bottles - $311.88,,,
Collezione di Paolo Poggerissi 2024 ,Italy,Sangiovese,Elegant Tuscan Sangiovese,,46 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
The Magpie Oakville Cabernet Sauvignon 2023 ,United States,Cabernet Sauvignon,Top-Secret Napa Cabernet Sauvignon,,,$89.99 per bottle,12 bottles - $1079.88,,,
Robert Ledoux Bourgogne Aligoté 2022 ,France,Aligoté,Lively Aligoté,,,$24.99 per bottle,12 bottles - $299.88,,,
Château Vieil Orme 2020 ,France,Cabernet-based blend,Classic Mature Bordeaux,,1 Review,$24.99 per bottle,12 bottles - $299.88,,,
Drawbridge Reserve Cabernet Sauvignon 2023 ,United States,Cabernet Sauvignon,Oak-Aged California Cabernet,,6 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Amandla Shiraz Zinfandel 2023 ,South Africa,Shiraz-based blend,Powerful South African Shiraz-Zin,,11 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Wings Cabernet Franc 2020 ,United States,Cabernet Franc,Historic California Cabernet Franc,,4 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
La Cueva Cabernet Sauvignon 2024 ,Spain,Cabernet Sauvignon,Spanish Cabernet,,7 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Domaine B&B Bouché Crémant de Limoux Rosé NV ,France,Chardonnay-based blend,Boutique French Sparkling Rosé,,32 Reviews,$27.99 per bottle,12 bottles - $335.88,,,
Portinho do Côvo 2023 ,Portugal,Red blend,Star Winemaker’s Portuguese Red,,138 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Schroeder Estate Cabernet Sauvignon 2023 ,Argentina,Cabernet Sauvignon,Extrermely Good Cab from the Extreme South,,396 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
