product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Château Calon-Ségur 2016 ,France,Cabernet-based blend,Mature 100-Point St-Éstephe,,,$199.99 per bottle,12 bottles - $2399.88,,,
Villa Broglia Gavi di Gavi 2023 ,Italy,Cortese,Elegant Gavi di Gavi,,119 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Barón de Barbón Oak Aged Rioja 2022 ,Spain,Tempranillo,Boutique Rioja Favorite,,419 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
SOMM TV English Sparkling Collection  ,,,The Cream of English Sparkling Wine,,,,4 bottles - $260.96,$260.96,$179.96,Save $81.00
SOMM TV Château La Clarière Vertical Collection (Reds)  ,,,Travel through Three Vintages in Bordeaux,,,,6 bottles - $239.94,$239.94,$189.94,Save $50.00
"SOMM TV Château La Clarière Collection (Red, White, Rosé)  ",,,Uncork Tony Laithwaite’s Three Signature Wines,,,,6 bottles - $209.94,$209.94,$169.94,Save $40.00
SOMM TV Heritage Collection  ,,,Journey Through Bordeaux with Tony Laithwaite,,,,6 bottles - $207.94,$207.94,$169.94,Save $38.00
Le Presbytere de La Clariere 2022 (6 btls)-initial deposit 2022 ,,,,,,,,,,
Inside Track Sonoma Coast Pinot Noir 2023 (6 btls)-initial deposit 2023 ,,,,,,,,,,
Inside Track Sonoma Coast Pinot Noir 2023 (12 btls)-initial deposit 2023 ,,,,,,,,,,
Norrel Robertson Thank You Deal  ,,,,,,,12 bottles - $255.88,$255.88,$179.88,Save $76.00
Leonardo Palumbo Thank You Deal  ,,,"A Dozen Rich Reds from an Italian Legend—Over 20% Off
",,,,12 bottles - $215.88,$215.88,$167.88,Save $48.00
1888 Barossa Cabernet Sauvignon 2023 (12 bottles)  ,,,RedHeads 1888 Cabernet Vineyard Partnership (12 btls),,,,12 bottles - $479.88,$479.88,$299.88,Save $180.00
Premium Napa Trio  ,,,Rare Trio: Exceptional Napa Valley Cabernet,,,,3 bottles - $269.97,$269.97,$185.97,Save $84.00
Le Presbytere de La Clariere 2022 (3 btls)-initial deposit 2022 ,,,,,,,,,,
Bordeaux Red Wine Gift Set  ,France,,Classic Bordeaux Gift Box,,,,2 bottles - $74.99,,,
Classic Italian Red & White in Italy Lovers Gift Box  ,Italy,,Classic Italian Red & White Gift Box,,,,2 bottles - $74.99,,,
Fine Italian Reds Trio in Wood Box NV ,Italy,,93-Point Amarone Trio in a Wood Box,,,,3 bottles - $149.99,,,
Chateau La Clariere Trio in Wood Box NV ,France,,Best Buys in Bordeaux,,,,3 bottles - $129.99,,,
"Champagne Réserve in ""Happy Birthday"" Wood Box NV ",France,Pinot Noir-based blend,Special Birthday Champagne,,,$74.99 per bottle,12 bottles - $899.88,,,
"Champagne in ""Congratulations"" Wood Box NV ",France,Chardonnay-based blend,Say Congratulations with Champagne,,,$74.99 per bottle,12 bottles - $899.88,,,
"Champagne Réserve in ""Thank You"" Wood Box NV ",France,Pinot Noir-based blend,Champagne to Show Your Appreciation,,,$74.99 per bottle,12 bottles - $899.88,,,
"Saint-Émilion Grand Cru 2019 in ""Thank You"" Wood Box 2019 ",France,Merlot-based blend,Say Thank You with a Saint-Émilion Grand Cru,,,$74.99 per bottle,12 bottles - $899.88,,,
Due Nipoti 2022 ,Italy,Merlot-based blend,Acclaimed Barrel-Aged Super Tuscan,,,$34.99 per bottle,12 bottles - $419.88,,,
Château Vieux Moulin 2018 ,France,Merlot-based blend,Esteemed Cru Bourgeois Bordeaux,,,$39.99 per bottle,12 bottles - $479.88,,,
Lost Isle Cabernet Sauvignon Clarksburg Magnums 2022 ,United States,Cabernet Sauvignon,Esteemed California Cabernet—in MAGNUM,,,$47.99 per bottle,12 bottles - $575.88,,,
Tenuta Fenice Riserva (Magnum) 2022 ,Italy,Red blend,Historic Old-Vine Sicilian Riserva – in MAGNUM,,,$54.99 per bottle,12 bottles - $659.88,,,
Touché William Knuttel Merlot Napa Valley 2023 ,United States,Merlot,Mind-Changing California Merlot,,,$64.99 per bottle,12 bottles - $779.88,,,
Maison Guillot Hermitage 2021 ,France,Syrah,High-Caliber Hermitage,,,$99.99 per bottle,12 bottles - $1199.88,,,
Inside Track Limited Release Margaret River Chardonnay 2024 ,Australia,Chardonnay,Top-Secret Australian Chardonnay,,,$69.99 per bottle,12 bottles - $839.88,,,
Fogbound Pinot Noir 2023 ,United States,Pinot Noir,Coastal-Cool California Pinot,,4 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Château La Fleur Saint Bonnet 2023 ,France,Merlot-based blend,95-Point Bordeaux Discovery,,4 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Les Belons 2023 ,France,White blend,Seafood-Ready French White,,5 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Julien Bouchard Pommard 1er Cru Clos Micault 2022 ,France,Pinot Noir,Impressive Pommard,,,$99.99 per bottle,12 bottles - $1199.88,,,
Julien Bouchard Savigny-les-Beaune 1er Cru les Peuillets 2019 ,France,Pinot Noir,Standout Savigny,,,$79.99 per bottle,12 bottles - $959.88,,,
Julien Bouchard Charmes-Chambertin Grand Cru 2018 ,France,Pinot Noir,Vibrant Red Burgundy,,,$299.99 per bottle,12 bottles - $3599.88,,,
Edouard Leiber Gewürztraminer Grand Cru Hatschbourg 2023 ,France,Gewürztraminer,Stunning Alsace Grand Cru Gewürztraminer,,,$49.99 per bottle,12 bottles - $599.88,,,
Edouard Leiber Riesling Grand Cru Pfingstberg 2023 ,France,Riesling,Impressive Alsace Grand Cru Riesling,,,$49.99 per bottle,12 bottles - $599.88,,,
Armagia Etna Bianco 2021 ,Italy,Carricante,Old-Vine Sicilian Specialty,,,$39.99 per bottle,12 bottles - $479.88,,,
Jets Uncorked Legacy Cabernet Sauvignon (Wood Box Trio) 2022 ,United States,Cabernet Sauvignon,,,,,3 bottles - $119.97,,,
Cabalié Blanc 2023 ,France,Viognier-based blend,Luscious Southern French White,,28 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Silver Puffs Sauvignon Blanc Magnum 2023 ,United States,Sauvignon Blanc,Tropical Sauvignon Magnum,,,$42.99 per bottle,12 bottles - $515.88,,,
The Magpie Sauvignon Blanc 2023 ,United States,Sauvignon Blanc,Boutique Napa Sauvignon Blanc,,4 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
GFF Petite Sirah 2024 ,United States,Petite Sirah,Family-made California Red,,8 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Lustrum Petite Sirah 2024 ,United States,Petite Sirah,"Petite Sirah, BIG flavor",,8 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
La Multa Albilla Sobre Lías 2024 ,Spain,Albilla de Villamalea,A True Spanish Gem,,1 Review,$34.99 per bottle,12 bottles - $419.88,,,
Lost Isle Chardonnay 2024 ,United States,Chardonnay,Acclaimed California Chardonnay,,1 Review,$22.99 per bottle,12 bottles - $275.88,,,
Château La Clarière (magnum) 2022 ,France,Merlot-based blend,Multi-Gold 2022 Bordeaux in Magnum,,,$99.99 per bottle,12 bottles - $1199.88,,,
14/27 Assyrtiko 2022 ,Greece,Assyrtiko,Classic Greek Assyrtiko,,2 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Château Haut Bardin 2022 ,France,Merlot-based blend,Multi-Gold-Medal Bordeaux,,,$19.99 per bottle,12 bottles - $239.88,,,
Touché William Knuttel Cabernet Sauvignon 2022 ,United States,Cabernet Sauvignon,Boutique Sonoma Cabernet,,7 Reviews,$49.99 per bottle,12 bottles - $599.88,,,
Altestelle Spumante  ,Italy,Negroamaro,Atlernative Italian Sparkles,,8 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Illustrious Reserve Red Blend 2020 ,United States,Red blend,Gold-Medal Luxe Napa Reserve,,1 Review,$69.99 per bottle,12 bottles - $839.88,,,
Camera Obscura Petit Verdot 2024 ,United States,Petit Verdot,"Deep, Dark California Petit Verdot",,8 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Camera Obscura Red Blend 2022 ,United States,Red blend,"Deep, Dark, 94-Point California Red",,8 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Ticking Clock White Blend 2024 ,United States,White blend,Delicious Lodi Discovery,,10 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Villa Clarius 2022 ,France,Carignan,Gold-Medal Southern French Red,,5 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Vinas de Vaquero Pinot Noir 2021 ,United States,Pinot Noir,"90-Point, Gold-Medal Sonoma Pinot Noir",,12 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Vinas de Vaquero Chardonnay 2021 ,United States,Chardonnay,Pioneering Sonoma Chardonnay,,6 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Theo-Patra's Cuvee Cerise 2021 ,United States,Red blend,Trailblazing California Red,,4 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Les Pépites 2023 ,France,Malbec-based blend,90-Point French Malbec Blend,,9 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Muraccio 2021 ,Italy,Sangiovese-based blend,"Rare, 91-Point Super Tuscan",,6 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Edouard Leiber Cuvée Prestige 2023 ,France,White blend,Family Estate’s Alsatian Cuvée,,3 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Pica Zabal Rioja 2022 ,Spain,Graciano-based blend,Organically Grown Rioja Rarity,,11 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Velvet Room Reserve 2022 ,United States,Red blend,Ultra-Rare Napa Luxury,,1 Review,$99.99 per bottle,12 bottles - $1199.88,,,
Amelior Merlot 2020 ,United States,Merlot,Silky California Merlot,,13 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Fogbound Arroyo Seco Clairette 2021 ,United States,Clairette,90-Point California Discovery,,2 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Château Rigaud 2016 ,France,Syrah-based blend,91-Point Southern French Superstar,,4 Reviews,$27.99 per bottle,12 bottles - $335.88,,,
Château Franc Bigaroux 2020 ,France,Merlot-based blend,92-Point Saint-Émilion Grand Cru,,5 Reviews,$49.99 per bottle,12 bottles - $599.88,,,
Diving Board White Blend 2021 ,United States,White blend,Delightful California White,,2 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Château Le Bonalguet 2022 ,France,Merlot-based blend,Glory-Vintage Bordeaux,,18 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Palumbo Riserva 2012 ,Italy,Nero di Troia,90-Point Italian Riserva,,6 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
River Rock Syrah 2019 ,United States,Syrah,Elegant Sonoma Syrah,,2 Reviews,$34.99 per bottle,12 bottles - $419.88,,,
Hommage à J Duèze 2020 ,France,Grenache-based blend,Divine Châteauneuf-du-Pape,,1 Review,$42.99 per bottle,12 bottles - $515.88,,,
Alambrado Malbec Blanco 2025 ,Argentina,Malbec,Unexpected White Malbec,,23 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Collezione di Paolo Contrappasso 2022 ,Italy,Sangiovese-based blend,Top-Estate Super Tuscan,,12 Reviews,$25.99 per bottle,12 bottles - $311.88,,,
L'Épiphanie de Saint-Émilion Grand Cru 2019 ,France,Merlot-based blend,Prestigious Saint-Émilion Grand Cru,,8 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Château Moine Vieux Saint-Émilion Grand Cru 2015 ,France,Merlot-based blend,90-Point Saint-Émilion Grand Cru,,1 Review,$39.99 per bottle,12 bottles - $479.88,,,
Knotwood Horse Heaven Hills Cabernet Sauvignon Magnum 2019 ,United States,Cabernet Sauvignon,Barrel-Aged Washington Cab—in MAGNUM,,9 Reviews,$44.99 per bottle,12 bottles - $539.88,,,
Raymond Library Collection Cabernet Sauvignon 2000 ,United States,Cabernet Sauvignon,Top Estate’s Mature Napa Cabernet,,1 Review,$99.99 per bottle,6 bottles - $599.94,$599.94,$479.94,Save $120.00
Château Despagnet 2020 ,France,Merlot-based blend,2020 Saint-Émilion Award-Winner,,13 Reviews,$39.99 per bottle,12 bottles - $479.88,$479.88,$299.88,Save $180.00
Luciani Rosso di Montalcino 2022 ,Italy,Sangiovese,Top-Estate Tuscan Specialty,,6 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Castillo de Epifanía Rioja Alta Reserva 2017 ,Spain,Tempranillo,Acclaimed Rioja Reserva,,24 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
Tablas Creek Cuvee Paso Blanc 2020 ,United States,White blend,"Iconic, Organically Grown California White",,1 Review,$42.99 per bottle,12 bottles - $515.88,,,
ROC Clairet 2022 ,France,Merlot,Bordeaux's Original Rosé,,5 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Gold Star Red Wine 2018 ,United States,Red blend,Barrel-Aged Napa Valley Exclusive,,18 Reviews,$32.99 per bottle,12 bottles - $395.88,$395.88,$299.88,Save $96.00
Les Deux Vallées Savennières 2019 ,France,Chenin Blanc,Elegant Loire Chenin Blanc,,6 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Crab & Sole Monterey County Pinot Blanc Magnum 2020 ,United States,Pinot Blanc,Seafood-Ready California White—in Magnum!,,12 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Borgo Torre 2023 ,Italy,Bianchello di Metauro,Rare Italian White,,3 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Borgo Torre 2021 ,Italy,Bianchello di Metauro,Gold-Medal Italian White,,3 Reviews,$37.99 per bottle,12 bottles - $455.88,,,
Bowhead Columbia Valley Sauvignon Blanc Magnum 2019 ,United States,Sauvignon Blanc,Ultra-Fresh Washington Sauvignon—in Magnum,,13 Reviews,$38.99 per bottle,12 bottles - $467.88,,,
The Inaugural Gold Edition R Collection by Raymond Cabernet 2024 ,United States,Cabernet Sauvignon,Gold-Edition California Cabernet,,65 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Salt Shaker Sauvignon Blanc Magnum 2019 ,United States,Sauvignon Blanc,Crisp California Sauvignon MAGNUM,,1 Review,$44.99 per bottle,undefined bottles - $44.99,,,
Vallino 2020 ,Italy,Cabernet-based blend,Refined Super Tuscan,,34 Reviews,$38.99 per bottle,12 bottles - $467.88,,,
Vallino 2019 ,Italy,Cabernet-based blend,92-Point Super Tuscan,,34 Reviews,$34.99 per bottle,12 bottles - $419.88,,,
Pagos de Tahola Selección de Martin 2016 ,Spain,Tempranillo-based blend,Stellar Single-Vineyard Rioja,,21 Reviews,$40.99 per bottle,12 bottles - $491.88,,,
L'Epiphanie de Pauillac 2020 ,France,Cabernet-based blend,Elite Pauillac from Superb Vintage,,1 Review,$89.99 per bottle,12 bottles - $1079.88,,,
L'Epiphanie de Pauillac 2019 ,France,Cabernet-based blend,Rare Bordeaux Opportunity,,1 Review,$69.99 per bottle,12 bottles - $839.88,,,
Fine Form Chardonnay Mendocino County 2020 ,United States,Chardonnay,Premium California Chardonnay,,95 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
RedHeads 1888 Cabernet Sauvignon 2023 ,Australia,Cabernet Sauvignon,Impressive Barossa Valley Caberne,,21 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Champagne Brigitte Delmotte Réserve NV ,France,Pinot Noir-based blend,Double-Gold Réserve Champagne,,3 Reviews,$64.99 per bottle,12 bottles - $779.88,,,
Selvarossa dei Confratelli Riserva 2020 ,Italy,Negroamaro-based blend,"92-Point, Insiders-Only Italian Riserva",,13 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Bold Move Red Blend 2022 ,United States,Red blend,Acclaimed California Red Blend,,136 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Currant Bun Red Blend 2024 ,United States,Red blend,A True California Treat,,82 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Currant Bun Red Blend 2022 ,United States,Red blend,Gold-Medal California Red,,82 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Saracosa Governo Rosso (magnum) 2023 ,Italy,Sangiovese-based blend,Bestselling Tuscan Red—in MAGNUM,,763 Reviews,$51.99 per bottle,12 bottles - $623.88,,,
L’Épiphanie de Saint-Émilion 2023 ,France,Merlot-based blend,Top-Secret Saint-Émilion Royalty,,3 Reviews,$89.99 per bottle,12 bottles - $1079.88,,,
Château La Clarière 2019 ,France,Merlot-based blend,92-Point 2019 Bordeaux,,23 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Harrow & Hope Blanc de Noirs 2018 ,United Kingdom,Pinot Noir-based blend,Gold-Medal English Bubbly,,1 Review,$65.99 per bottle,12 bottles - $791.88,,,
Violette de Mireval 2024 ,France,Négrette,Vibrant French Rosé,,9 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Gold Star Vermentino Grenache Blanc 2021 ,United States,White blend,Vibrant California White,,10 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Queen Bee Viognier 2025 ,South Africa,Viognier,Buzzy South Africa Viognier,,39 Reviews,$21.99 per bottle,12 bottles - $263.88,$263.88,$167.88,Save $96.00
Château Troplong-Mondot 2018 ,France,Merlot-based blend,98-Point Saint-Émilion Premier Grand Cru Classé,,,$139.99 per bottle,12 bottles - $1679.88,,,
CA-BEAR-NAY Cabernet Sauvignon 2024 ,United States,Cabernet Sauvignon,Sumptuous California Cabernet,,124 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Petticoat White Zinfandel 2020 ,United States,Zinfandel,Award-Winning White Zinfandel,,2 Reviews,,12 bottles - $155.88,$155.88,$129.88,Save $26.00
Le Fughe 2022 ,Italy,Cabernet Sauvignon,Tuscan Cabernet,,,$42.99 per bottle,12 bottles - $515.88,,,
Le Fughe 2021 ,Italy,Cabernet Sauvignon,Rare Tuscan Cabernet,,43 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Domaine Daniel Reverdy Le Clos de Chaudenay 2022 ,France,Sauvignon Blanc,"Sophisticated, Gold-Medal Sancerre",,,$54.99 per bottle,12 bottles - $659.88,,,
La Révélation Roussanne 2024 ,France,Roussanne,Gorgeous French Roussanne,,56 Reviews,$25.99 per bottle,12 bottles - $311.88,,,
Création d'Émilie B Châteauneuf-du-Pape 2021 ,France,Grenache-based blend,91-93 Point Châteauneuf Superstar,,25 Reviews,$54.99 per bottle,12 bottles - $659.88,,,
Scarànto 2022 ,Italy,Sangiovese-based blend,Luxurious Super Tuscan,,79 Reviews,$36.99 per bottle,12 bottles - $443.88,,,
Barón de Barbón Albariño Rías Baixas 2023 ,Spain,Albariño,Succulent Spanish Albariño,,78 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Château Marquisat de Binet 2010 ,France,Merlot-based blend,Fine 2010 Saint-Émilion,,11 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Le Rosé de La Clarière 2023 ,France,Cabernet Franc-based blend,Rare Boutique Bordeaux Rosé,,1 Review,$29.99 per bottle,12 bottles - $359.88,,,
Château Canet Vieilles Vignes Blanc 2022 ,France,Roussanne-based blend,Old-Vine French Réserve White,,6 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Luciani Brunello di Montalcino Riserva 2017 ,Italy,Sangiovese,Smooth and Complex Brunello Riserva,,3 Reviews,$79.99 per bottle,12 bottles - $959.88,,,
Luciani Brunello di Montalcino 2018 ,Italy,Sangiovese,93-Point Brunello di Montalcino,,17 Reviews,$64.99 per bottle,12 bottles - $779.88,,,
Château Léoville-Barton 2016 ,France,Cabernet-based blend,97-Point Saint-Julien Grand Cru Classé,,,$199.99 per bottle,12 bottles - $2399.88,,,
Windsor Great Park Vineyard 2016 ,United Kingdom,Chardonnay-based blend,94-Point Champagne Rival,,6 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Château Pontet-Canet Pauillac 5eme Cru Classé Organic 2017 ,France,Cabernet-based blend,Mature 96-Point Pauillac Cru Classé,,,$149.99 per bottle,12 bottles - $1799.88,,,
Pedra do Cribo Albariño 2018 ,Spain,Albariño,91-Point Spanish Albariño,,30 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
El Bombero Gran Reserva 2017 ,Spain,Garnacha-based blend,Perfectly Mature Gran Reserva,,660 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Château Sixtine Châteauneuf-du-Pape Blanc 2023 ,France,Roussanne,Rare White Châteauneuf,,,$69.99 per bottle,12 bottles - $839.88,,,
Château Sixtine Châteauneuf-du-Pape 2022 ,France,Grenache-based blend,93-Point Châteauneuf Icon,,8 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Château Sixtine Châteauneuf-du-Pape 2021 ,France,Grenache-based blend,"Top-Estate, 93-Point Châteauneuf-du-Pape",,8 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Château Sixtine Châteauneuf-du-Pape 2020 ,France,Grenache-based blend,Top Estate’s 93-Point Châteauneuf-du-Pape,,6 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Bees Knees Chenin Blanc Viognier 2025 ,South Africa,White blend,It Really is the Bee's Knees,,330 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Alambrado Gran Chardonnay 2024 ,Argentina,Chardonnay,Fruity Argentinian Chardonnay,,,$22.99 per bottle,12 bottles - $275.88,,,
Château du Tertre Belair 2022 ,France,Merlot-based blend,Glory-Vintage 2022 Bordeaux,,53 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
Peña Garnacha 2024 ,Spain,Garnacha,Old-Vine Spanish Garnacha,,10 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Aluado Alicante Bouschet 2024 ,Portugal,Alicante Bouschet,Bestselling Portuguese Red,,1501 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Le Secret des Etoiles Pinot Noir 2023 ,France,Pinot Noir,"Luxurious, Barrel-Aged French Pinot Noir",,35 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Jean-Pierre Moueix Pomerol 2021 ,France,Merlot-based blend,Top Pomerol from Pétrus Legend,,3 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Château Larcis Ducasse St Émilion Grand Cru Classé 2017 ,France,Merlot-based blend,96-Point Saint-Émilion Premier Grand Cru Classé,,,$99.99 per bottle,12 bottles - $1199.88,,,
Château La Conseillante 2018 ,France,Merlot-based blend,Mature 98-Point Pomerol,,,$329.99 per bottle,12 bottles - $3959.88,,,
Château d'Armailhac 2009 ,France,Cabernet-based blend,93-Point Grand Cru Classé Pauillac,,,$149.99 per bottle,12 bottles - $1799.88,,,
Château Giscours 2010 ,France,Cabernet-based blend,95-Point Margaux Grand Cru Classé,,,$149.99 per bottle,12 bottles - $1799.88,,,
Altos R Pigeage Tempranillo 2020 ,Spain,Tempranillo,95-Point Multi-Gold 'Grand Cru' Rioja,,13 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Altos de la Guardia Tempranillo Rioja 2023 ,Spain,Tempranillo,Acclaimed Estate's Rioja,,190 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Altos de la Guardia Reserva Rioja 2018 ,Spain,Tempranillo,91-Point Rioja Reserva,,128 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Collezione di Paolo Bianco Vergine 2023 ,Italy,Trebbiano,Top-Estate Tuscan White,,53 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Collezione di Paolo Verso Cielo Rosso di Toscana 2020 ,Italy,Cabernet-based blend,Top-Estate Super Tuscan,,92 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Cuvée du Vatican Réserve de l'Abbé Châteauneuf-du-Pape 2020 ,France,Grenache-based blend,Top-Estate Châteauneuf Exclusive,,18 Reviews,$44.99 per bottle,12 bottles - $539.88,,,
Brightwater Nelson Sauvignon Blanc 2022 ,New Zealand,Sauvignon Blanc,94-Point New Zealand Sauvignon Blanc,,27 Reviews,$25.99 per bottle,12 bottles - $311.88,,,
Villa Broglia Gavi di Gavi 2020 ,Italy,Cortese,93-Point Gavi di Gavi,,119 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
